,n,Classifier,Accuracy,Precision,Recall,F1
0,1,Logistic,0.5,0,0,0
1,1,XGBoost,0.5485930706296042,0.40794266382186184,0.19230384529895533,0.2613890850588951
2,1,Random Forest,0.7616522749114973,0.6411554693612191,0.6466492553900867,0.6438906441064345
3,5,Logistic,0.5,0,0,0
4,5,XGBoost,0.8620714574657502,0.8407317249960737,0.7741184649610678,0.8060511822651539
5,5,Random Forest,0.8779780522749313,0.8473044607751359,0.8054199110122358,0.8258314514473415
6,10,Logistic,0.5,0,0,0
7,10,XGBoost,0.8872842105989726,0.834891192,0.8305400890868597,0.8327099569032892
8,10,Random Forest,0.8824538393261196,0.8362938574687305,0.8195796213808462,0.8278523834363721
9,20,Logistic,0.5,0,0,0
10,20,XGBoost,0.9034735656415345,0.8248329871813528,0.8698604910714286,0.8467485554039097
11,20,Random Forest,0.9036397208348536,0.8381765872854773,0.864095982,0.8509389558486735
12,30,Logistic,0.5,0,0,0
13,30,XGBoost,0.9091813930280894,0.8322571246954127,0.8787108501118567,0.8548533652538224
14,30,Random Forest,0.9104402414496757,0.8424008103366283,0.8767729306487697,0.8592432627971569
15,40,Logistic,0.5,0,0,0
16,40,XGBoost,0.9099408744526791,0.8356314426121161,0.8788088565022422,0.8566764476064017
17,40,Random Forest,0.9094733505203569,0.8368751470556781,0.8772365470852017,0.8565806614049108
18,50,Logistic,0.5,0,0,0
19,50,XGBoost,0.9092707352565211,0.8309237970894501,0.8795561797752809,0.8545486302528806
20,50,Random Forest,0.9089617272321917,0.838408294,0.875446629,0.8565272416716707
21,100,Logistic,0.5,0,0,0
22,100,XGBoost,0.911375866,0.870934585,0.866582386,0.868753035
23,100,Random Forest,0.909843082,0.851804027,0.871431818,0.861506142
24,250,Logistic,0.5,0,0,0
25,250,XGBoost,0.914134303,0.888534166,0.865244118,0.876734497
26,250,Random Forest,0.913510173,0.863704535,0.874002941,0.868823222
27,500,Logistic,0.5,0,0,0
28,500,XGBoost,0.916292407,0.899050116,0.8657375,0.882079399
29,500,Random Forest,0.915708192,0.868093927,0.87685625,0.872453088
30,750,Logistic,0.5,0,0,0
31,750,XGBoost,0.912527377,0.908681191,0.854196667,0.880596964
32,750,Random Forest,0.916279711,0.874960419,0.87501,0.874985209
33,1000,Logistic,0.5,0,0,0
34,1000,XGBoost,0.913028827,0.914408431,0.853107143,0.882694756
35,1000,Random Forest,0.917018195,0.881112863,0.873982143,0.877533018
36,1,GBM,0.76213325,0.695265438,0.616331407,0.653423233
37,1,Naive Bayes,0.432002492,0.092272689,0.057804512,0.071080454
38,1,Simple NN,0.681598515,0.642162602,0.449846633,0.527790363
39,10,GBM,0.892687692,0.849796318,0.835712695,0.842695667
40,10,Naive Bayes,0.5,0,0,0
41,10,Simple NN,0.856852894,0.891752064,0.744603007,0.81139192
42,25,GBM,0.894802977,0.871252323,0.831449721,0.850885806
43,25,Naive Bayes,0.590724523,0.492028957,0.279840782,0.356769442
44,25,Simple NN,0.883026267,0.865289521,0.809070391,0.836075552
45,50,GBM,0.900585095,0.864124326,0.846550562,0.855247176
46,50,Naive Bayes,0.571959759,0.554775126,0.198126405,0.291978689
47,50,Simple NN,0.883146474,0.890523393,0.799968539,0.842612691
48,100,GBM,0.901990238,0.883182402,0.841991477,0.862095194
49,100,Naive Bayes,0.574966875,0.543304312,0.210255682,0.303181749
50,100,Simple NN,0.886748287,0.900273031,0.803902273,0.849344235
51,250,GBM,0.898740299,0.90952222,0.825452941,0.865450767
52,250,Naive Bayes,0.567643632,0.562888695,0.183947059,0.277281101
53,250,Simple NN,0.890605798,0.906968993,0.80974,0.855223753
54,500,GBM,0.90293994,0.900328889,0.8375,0.867778697
55,500,Naive Bayes,0.560236299,0.57624727,0.1608,0.251437227
56,500,Simple NN,0.891817144,0.907895073,0.811834375,0.856981675
57,750,GBM,0.901989766,0.914127312,0.830463333,0.870289219
58,750,Naive Bayes,0.564956774,0.562845598,0.176433333,0.268652929
59,750,Simple NN,0.899473107,0.876610618,0.841218,0.856228768
60,1000,GBM,0.901002115,0.905607233,0.831357143,0.866895202
61,1000,Naive Bayes,0.567352691,0.562329151,0.182935714,0.276063155
62,1000,Simple NN,0.896252281,0.902879101,0.824447857,0.85943732
