,n,Classifier,Accuracy,Precision,Recall,F1
0,1,Logistic,0.5,0,0,0
1,1,XGBoost,0.6921300496162778,0.771327998,0.5214332895465561,0.6222279382692391
2,1,Random Forest,0.8746678599508357,0.8447441969103885,0.8953567163972055,0.8693143995926192
3,5,Logistic,0.46685187874232315,0.45317322620831757,0.9337037574846463,0.6101904481469439
4,5,XGBoost,0.995427532,1,0.9908550647886362,0.9954065288964997
5,5,Random Forest,0.9977786295730015,1,0.9955572591460029,0.9977736841007016
6,10,Logistic,0.5,0,0,0
7,10,XGBoost,0.9934928002056974,0.9955635980927016,0.9909046986867448,0.9932286850899288
8,10,Random Forest,0.9960986995174643,0.9952775342813854,0.9963935190232786,0.9958352139947921
9,20,Logistic,0.5,0,0,0
10,20,XGBoost,0.9979073170466055,0.9996689862704533,0.9961073118284176,0.9978849709565691
11,20,Random Forest,0.9984927889018256,0.9999892589306623,0.9969950803275213,0.9984899249681469
12,30,Logistic,0.5,0,0,0
13,30,XGBoost,0.9983506161195163,0.9996943127094873,0.996971847,0.9983312238497939
14,30,Random Forest,0.9987860140106744,0.9999892397680956,0.9975815567131928,0.9987839472438378
15,40,Logistic,0.5,0,0,0
16,40,XGBoost,0.9983551386990142,0.9992623086073703,0.997363781,0.9983121421787212
17,40,Random Forest,0.9990232516922595,0.9999881361708736,0.9980570129453531,0.999021641
18,50,Logistic,0.5,0,0,0
19,50,XGBoost,0.9985983945458032,0.9994186461154106,0.9977119963236604,0.9985645920099759
20,50,Random Forest,0.9992799824877308,0.9998261297784612,0.9987141440913735,0.9992698275810893
21,100,Logistic,0.5,0,0,0
22,100,XGBoost,0.999054824,0.999263332,0.998718568,0.998990876
23,100,Random Forest,0.999587483,0.999977707,0.99919339,0.999585394
24,250,Logistic,0.5,0,0,0
25,250,XGBoost,0.999078278,0.999194494,0.998817817,0.99900612
26,250,Random Forest,0.999582984,0.99992919,0.999224078,0.99957651
27,500,Logistic,0.5,0,0,0
28,500,XGBoost,0.999473019,0.999737347,0.999160255,0.999448718
29,500,Random Forest,0.999553177,0.99983143,0.999243838,0.999537548
30,750,Logistic,0.5,0,0,0
31,750,XGBoost,0.999364506,0.999659368,0.999003988,0.999331571
32,750,Random Forest,0.999555948,0.999861226,0.999223923,0.999542473
33,1000,Logistic,0.5,0,0,0
34,1000,XGBoost,0.999344263,0.999503087,0.999085335,0.999294167
35,1000,Random Forest,0.999582536,0.99992726,0.99922314,0.999575076
36,1,GBM,0.704675746,0.771425268,0.555372488,0.645808102
37,1,Naive Bayes,0.994303444,0.994290638,0.993669947,0.993980196
38,1,Simple NN,0.927985577,0.874079319,0.98143028,0.924649392
39,10,GBM,0.997222332,0.996111901,0.997901742,0.997006018
40,10,Naive Bayes,0.995791192,1,0.991582384,0.995773403
41,10,Simple NN,0.996963365,0.999997849,0.993928627,0.996954001
42,25,GBM,0.998830431,0.999776545,0.997858732,0.998816718
43,25,Naive Bayes,0.995775365,1,0.991550731,0.995757442
44,25,Simple NN,0.997907519,1,0.995815038,0.997903131
45,50,GBM,0.998821914,0.999347708,0.99822224,0.998784656
46,50,Naive Bayes,0.995941248,1,0.991882495,0.995924707
47,50,Simple NN,0.998108433,1,0.996216865,0.998104848
48,100,GBM,0.99924832,0.999592966,0.998858307,0.999225501
49,100,Naive Bayes,0.996065139,1,0.992130277,0.996049594
50,100,Simple NN,0.999132008,1,0.998264016,0.999131254
51,250,GBM,0.99937692,0.999667131,0.999048403,0.999357671
52,250,Naive Bayes,0.99605104,1,0.99210208,0.996035384
53,250,Simple NN,0.999034824,1,0.998069649,0.999033892
54,500,GBM,0.999477836,0.999922805,0.99902388,0.99947314
55,500,Naive Bayes,0.995915962,1,0.991831924,0.995899214
56,500,Simple NN,0.999278153,1,0.998556307,0.999277632
57,750,GBM,0.999558606,0.999965265,0.999147765,0.999556348
58,750,Naive Bayes,0.996112238,1,0.992224476,0.996097064
59,750,Simple NN,0.999145194,1,0.998290387,0.999144462
60,1000,GBM,0.999562322,0.999968226,0.99915247,0.999560182
61,1000,Naive Bayes,0.996355896,1,0.992711793,0.996342568
62,1000,Simple NN,0.999265658,1,0.998531316,0.999265118
