,n,Classifier,Accuracy,Precision,Recall,F1
0,1,Logistic,0.5,0,0,0
1,1,XGBoost,0.566202809,0.5244892986476122,0.8826454193889826,0.6579868594469794
2,1,Random Forest,0.5773929686895781,0.5324272571607431,0.8761785199556821,0.6623589562697153
3,5,Logistic,0.5,0,0,0
4,5,XGBoost,0.6245667622834443,0.5820116835689787,0.7628425661280477,0.6602697449337535
5,5,Random Forest,0.6185073092045448,0.5762805513708719,0.7631760867719649,0.6566894717664054
6,10,Logistic,0.5,0,0,0
7,10,XGBoost,0.6419234708831727,0.5991044151362914,0.7617748573012868,0.6707173657389259
8,10,Random Forest,0.6375460393368746,0.5934532552177888,0.7690360235198644,0.669931043
9,20,Logistic,0.5,0,0,0
10,20,XGBoost,0.6580305884218081,0.6207848008644381,0.7395915165018292,0.6750002428467748
11,20,Random Forest,0.65365221,0.6127771168315005,0.7539144899227289,0.6760582199952279
12,30,Logistic,0.5,0.48231520770788794,1,0.6507593057129792
13,30,XGBoost,0.6435449520338204,0.5815362261842335,0.8710767468499426,0.6974503098672747
14,30,Random Forest,0.6481549960342399,0.5873529224324061,0.8577595729013254,0.6972572633822776
15,40,Logistic,0.5,0.4825685642405543,1,0.6509898778108114
16,40,XGBoost,0.6527596571707415,0.59421503,0.8413760250782415,0.6965190795284596
17,40,Random Forest,0.6587067273167841,0.599900322,0.8397338510159862,0.6998397467366648
18,50,Logistic,0.5,0.48269404917834635,1,0.651104049
19,50,XGBoost,0.6585232081578937,0.6033720448166157,0.8200256164996531,0.6952105465339314
20,50,Random Forest,0.6636958461373774,0.6072553252517323,0.8256641200691316,0.6998145435439929
21,100,Logistic,0.5,0,0,0
22,100,XGBoost,0.683019642,0.654446879,0.723857758,0.687404566
23,100,Random Forest,0.683887848,0.645214216,0.757974594,0.697063688
24,250,Logistic,0.5,0,0,0
25,250,XGBoost,0.706187143,0.717501855,0.655043056,0.684851336
26,250,Random Forest,0.697371254,0.674050269,0.724295966,0.698270397
27,500,Logistic,0.5,0,0,0
28,500,XGBoost,0.706413158,0.744024561,0.613822804,0.672681266
29,500,Random Forest,0.708020426,0.697503365,0.708480862,0.702949259
30,750,Logistic,0.5,0,0,0
31,750,XGBoost,0.711070833,0.767362208,0.596307398,0.67110649
32,750,Random Forest,0.711617843,0.707772199,0.702790065,0.705272333
33,1000,Logistic,0.5,0,0,0
34,1000,XGBoost,0.711129261,0.774579267,0.591076179,0.67049907
35,1000,Random Forest,0.713129042,0.717227155,0.695279467,0.706082798
36,1,GBM,0.573113779,0.529645496,0.873459655,0.659428799
37,1,Naive Bayes,0.525405302,0.515534068,0.427126436,0.467184587
38,1,Simple NN,0.543185877,0.520191358,0.638988647,0.573446608
39,10,GBM,0.637028123,0.606695436,0.698777967,0.649489146
40,10,Naive Bayes,0.521761668,0.543862872,0.203708295,0.296398211
41,10,Simple NN,0.569208929,0.563540664,0.508084928,0.53382098
42,25,GBM,0.66108114,0.661587286,0.619076462,0.639626314
43,25,Naive Bayes,0.523515027,0.533146431,0.262788105,0.352050411
44,25,Simple NN,0.581301559,0.599289992,0.438563832,0.505488499
45,50,GBM,0.631982125,0.575999495,0.842961415,0.684367478
46,50,Naive Bayes,0.5,0.482694049,1,0.651104049
47,50,Simple NN,0.552218736,0.519635836,0.782595559,0.622852047
48,100,GBM,0.659485051,0.646701279,0.652898134,0.649784933
49,100,Naive Bayes,0.52421179,0.530555485,0.282133739,0.368376
50,100,Simple NN,0.59216644,0.597887845,0.500981528,0.544156169
51,250,GBM,0.67017272,0.738985264,0.509757508,0.603332079
52,250,Naive Bayes,0.522953194,0.552044092,0.194113018,0.287228905
53,250,Simple NN,0.607916097,0.672563489,0.401553364,0.50126684
54,500,GBM,0.663124616,0.777624532,0.448253505,0.568691031
55,500,Naive Bayes,0.520716023,0.579816121,0.133538474,0.217080707
56,500,Simple NN,0.615624188,0.688993393,0.410515024,0.511926486
57,750,GBM,0.662001486,0.771066496,0.453812525,0.571353787
58,750,Naive Bayes,0.521161527,0.580361899,0.139499729,0.224933027
59,750,Simple NN,0.617918991,0.69526464,0.408566818,0.514554381
60,1000,GBM,0.657579466,0.771917037,0.443873564,0.56363911
61,1000,Naive Bayes,0.51927519,0.587760816,0.123688707,0.204369735
62,1000,Simple NN,0.621633044,0.699767783,0.421632303,0.525507591
