,n,Classifier,Accuracy,Precision,Recall,F1
0,1,Logistic,0.5,0,0,0
1,1,XGBoost,0.608575544,0.5554413650763991,0.8614510998815458,0.6754013966458255
2,1,Random Forest,0.5994540062247786,0.5497823344035253,0.847287256,0.6668580702530913
3,5,Logistic,0.5,0,0,0
4,5,XGBoost,0.7204162130574598,0.679391846,0.7887517146776406,0.7299987520185865
5,5,Random Forest,0.7168157642824942,0.6708090247828361,0.8010994213945132,0.7301877002137924
6,10,Logistic,0.5,0,0,0
7,10,XGBoost,0.7508883500454708,0.6923157573990282,0.8581404675482904,0.7663604533764083
8,10,Random Forest,0.7435629590588808,0.6896096249157795,0.8406995456506842,0.7576959081130396
9,20,Logistic,0.5,0.48286964418393463,1,0.6512637790891883
10,20,XGBoost,0.7726478242636632,0.7202763291034041,0.8555359483509595,0.7821011437856054
11,20,Random Forest,0.7699310449720893,0.7214251924408068,0.8442763923829062,0.7780310944970354
12,30,Logistic,0.5,0.4825023237695117,1,0.6509296019754873
13,30,XGBoost,0.792298906,0.7403003999933814,0.8687481668238812,0.7993973937845421
14,30,Random Forest,0.7862511794070375,0.7384666867390627,0.8547460227104333,0.7923630782640002
15,40,Logistic,0.5,0,0,0
16,40,XGBoost,0.7762370324550494,0.6904224031044582,0.938449152,0.7955523767897115
17,40,Random Forest,0.7813873784554098,0.7037411340854886,0.9167902690226108,0.796261057
18,50,Logistic,0.5,0.4784948545664661,1,0.6472729385409643
19,50,XGBoost,0.7882623323651852,0.7083434400173623,0.9265706311748657,0.8028926288790792
20,50,Random Forest,0.7897637871468361,0.7167181529120922,0.9092783978591363,0.8015962069382739
21,100,Logistic,0.5,0.437415653,1,0.608614011
22,100,XGBoost,0.815736943,0.733578411,0.879952312,0.800126095
23,100,Random Forest,0.807129915,0.727069372,0.86743412,0.791073565
24,250,Logistic,0.5,0.434265254,1,0.605557797
25,250,XGBoost,0.824098575,0.75779923,0.858923003,0.80519854
26,250,Random Forest,0.815032852,0.747366213,0.850839719,0.795753345
27,500,Logistic,0.5,0.430816509,1,0.602196727
28,500,XGBoost,0.828052511,0.769656598,0.84825781,0.807047909
29,500,Random Forest,0.818221951,0.760905825,0.835048817,0.796255097
30,750,Logistic,0.5,0.424579558,1,0.596077005
31,750,XGBoost,0.830653794,0.769622703,0.848776328,0.80726387
32,750,Random Forest,0.818245267,0.759094959,0.831107546,0.793470701
33,1000,Logistic,0.5,0.420664018,1,0.592207605
34,1000,XGBoost,0.828515707,0.76888958,0.840465643,0.803085939
35,1000,Random Forest,0.818259396,0.760898171,0.824689313,0.791510524
36,1,GBM,0.623363582,0.565796038,0.872241683,0.686367098
37,1,Naive Bayes,0.55987691,0.545960326,0.537350577,0.541621238
38,1,Simple NN,0.545932924,0.52434487,0.603187422,0.561009618
39,10,GBM,0.760439657,0.708513706,0.846157829,0.77124255
40,10,Naive Bayes,0.53745871,0.510622746,0.717085057,0.596493628
41,10,Simple NN,0.651868059,0.642055812,0.634007666,0.638006359
42,25,GBM,0.778351593,0.738476152,0.831454042,0.782211825
43,25,Naive Bayes,0.561867216,0.522271236,0.844691324,0.6454573
44,25,Simple NN,0.662234053,0.624758284,0.738156894,0.676740038
45,50,GBM,0.752712906,0.663373817,0.945772859,0.779793366
46,50,Naive Bayes,0.551790406,0.506912232,0.963577555,0.664335453
47,50,Simple NN,0.659629848,0.58318092,0.927506842,0.716103363
48,100,GBM,0.769827175,0.68928605,0.918450528,0.7875359
49,100,Naive Bayes,0.56624895,0.515813776,0.938580901,0.66575183
50,100,Simple NN,0.671731298,0.593034325,0.922952441,0.722094005
51,250,GBM,0.77970171,0.72333915,0.854713576,0.783557839
52,250,Naive Bayes,0.579290621,0.521392534,0.928538551,0.667801488
53,250,Simple NN,0.720694311,0.658077622,0.831798132,0.734809913
54,500,GBM,0.781058813,0.728078539,0.842377032,0.781068436
55,500,Naive Bayes,0.578945588,0.520110264,0.8866769,0.655635434
56,500,Simple NN,0.716033243,0.647673231,0.83830333,0.730760687
57,750,GBM,0.779186309,0.725877385,0.830840961,0.774820526
58,750,Naive Bayes,0.574592921,0.511363334,0.876528522,0.645907021
59,750,Simple NN,0.726893072,0.666680027,0.801984082,0.728099456
60,1000,GBM,0.77968039,0.727824903,0.822120339,0.772104252
61,1000,Naive Bayes,0.555241545,0.496611147,0.826603178,0.620459353
62,1000,Simple NN,0.725361102,0.653815544,0.82329236,0.728831442
