,n,Classifier,Accuracy,Precision,Recall,F1
0,1,Logistic,0.5,0.0,0.0,0.0
1,1,XGBoost,0.5485930706296042,0.40794266382186184,0.19230384529895533,0.2613890850588951
2,1,Random Forest,0.7616522749114973,0.6411554693612191,0.6466492553900867,0.6438906441064345
3,5,Logistic,0.5,0.0,0.0,0.0
4,5,XGBoost,0.8620714574657502,0.8407317249960737,0.7741184649610678,0.8060511822651539
5,5,Random Forest,0.8779780522749313,0.8473044607751359,0.8054199110122358,0.8258314514473415
6,10,Logistic,0.5,0.0,0.0,0.0
7,10,XGBoost,0.8872842105989726,0.834891192405857,0.8305400890868597,0.8327099569032892
8,10,Random Forest,0.8824538393261196,0.8362938574687305,0.8195796213808462,0.8278523834363721
9,20,Logistic,0.5,0.0,0.0,0.0
10,20,XGBoost,0.9034735656415345,0.8248329871813528,0.8698604910714286,0.8467485554039097
11,20,Random Forest,0.9036397208348536,0.8381765872854773,0.864095982142857,0.8509389558486735
12,30,Logistic,0.5,0.0,0.0,0.0
13,30,XGBoost,0.9091813930280894,0.8322571246954127,0.8787108501118567,0.8548533652538224
14,30,Random Forest,0.9104402414496757,0.8424008103366283,0.8767729306487697,0.8592432627971569
15,40,Logistic,0.5,0.0,0.0,0.0
16,40,XGBoost,0.9099408744526791,0.8356314426121161,0.8788088565022422,0.8566764476064017
17,40,Random Forest,0.9094733505203569,0.8368751470556781,0.8772365470852017,0.8565806614049108
18,50,Logistic,0.5,0.0,0.0,0.0
19,50,XGBoost,0.9092707352565211,0.8309237970894501,0.8795561797752809,0.8545486302528806
20,50,Random Forest,0.9089617272321917,0.838408294258959,0.875446629213483,0.8565272416716707
