,n,Classifier,Accuracy,Precision,Recall,F1
0,1,Logistic,0.5,0.0,0.0,0.0
1,1,XGBoost,0.6921300496162778,0.771327997979511,0.5214332895465561,0.6222279382692391
2,1,Random Forest,0.8746678599508357,0.8447441969103885,0.8953567163972055,0.8693143995926192
3,5,Logistic,0.46685187874232315,0.45317322620831757,0.9337037574846463,0.6101904481469439
4,5,XGBoost,0.995427532394318,1.0,0.9908550647886362,0.9954065288964997
5,5,Random Forest,0.9977786295730015,1.0,0.9955572591460029,0.9977736841007016
6,10,Logistic,0.5,0.0,0.0,0.0
7,10,XGBoost,0.9934928002056974,0.9955635980927016,0.9909046986867448,0.9932286850899288
8,10,Random Forest,0.9960986995174643,0.9952775342813854,0.9963935190232786,0.9958352139947921
9,20,Logistic,0.5,0.0,0.0,0.0
10,20,XGBoost,0.9979073170466055,0.9996689862704533,0.9961073118284176,0.9978849709565691
11,20,Random Forest,0.9984927889018256,0.9999892589306623,0.9969950803275213,0.9984899249681469
12,30,Logistic,0.5,0.0,0.0,0.0
13,30,XGBoost,0.9983506161195163,0.9996943127094873,0.996971847087402,0.9983312238497939
14,30,Random Forest,0.9987860140106744,0.9999892397680956,0.9975815567131928,0.9987839472438378
15,40,Logistic,0.5,0.0,0.0,0.0
16,40,XGBoost,0.9983551386990142,0.9992623086073703,0.997363780998986,0.9983121421787212
17,40,Random Forest,0.9990232516922595,0.9999881361708736,0.9980570129453531,0.999021641336731
18,50,Logistic,0.5,0.0,0.0,0.0
19,50,XGBoost,0.9985983945458032,0.9994186461154106,0.9977119963236604,0.9985645920099759
20,50,Random Forest,0.9992799824877308,0.9998261297784612,0.9987141440913735,0.9992698275810893
