,n,Classifier,Accuracy,Precision,Recall,F1
0,1,Logistic,0.5,0.0,0.0,0.0
1,1,XGBoost,0.608575544401425,0.5554413650763991,0.8614510998815458,0.6754013966458255
2,1,Random Forest,0.5994540062247786,0.5497823344035253,0.847287256087119,0.6668580702530913
3,5,Logistic,0.5,0.0,0.0,0.0
4,5,XGBoost,0.7204162130574598,0.679391846162579,0.7887517146776406,0.7299987520185865
5,5,Random Forest,0.7168157642824942,0.6708090247828361,0.8010994213945132,0.7301877002137924
6,10,Logistic,0.5,0.0,0.0,0.0
7,10,XGBoost,0.7508883500454708,0.6923157573990282,0.8581404675482904,0.7663604533764083
8,10,Random Forest,0.7435629590588808,0.6896096249157795,0.8406995456506842,0.7576959081130396
9,20,Logistic,0.5,0.48286964418393463,1.0,0.6512637790891883
10,20,XGBoost,0.7726478242636632,0.7202763291034041,0.8555359483509595,0.7821011437856054
11,20,Random Forest,0.7699310449720893,0.7214251924408068,0.8442763923829062,0.7780310944970354
12,30,Logistic,0.5,0.4825023237695117,1.0,0.6509296019754873
13,30,XGBoost,0.792298905844768,0.7403003999933814,0.8687481668238812,0.7993973937845421
14,30,Random Forest,0.7862511794070375,0.7384666867390627,0.8547460227104333,0.7923630782640002
15,40,Logistic,0.5,0.0,0.0,0.0
16,40,XGBoost,0.7762370324550494,0.6904224031044582,0.938449151518434,0.7955523767897115
17,40,Random Forest,0.7813873784554098,0.7037411340854886,0.9167902690226108,0.79626105659302
18,50,Logistic,0.5,0.4784948545664661,1.0,0.6472729385409643
19,50,XGBoost,0.7882623323651852,0.7083434400173623,0.9265706311748657,0.8028926288790792
20,50,Random Forest,0.7897637871468361,0.7167181529120922,0.9092783978591363,0.8015962069382739
